Step,GeneCountMin,GeneCountMax,GeneCountAvg,GeneCountSE,PopMin,PopMax,PopAvg,PopSE,SpeciesMin,SpeciesMax,SpeciesAvg,SpeciesSE,GeneCount1,Pop1,Species1,GeneCount2,Pop2,Species2,GeneCount3,Pop3,Species3,GeneCount4,Pop4,Species4,GeneCount5,Pop5,Species5,GeneCount6,Pop6,Species6,GeneCount7,Pop7,Species7,GeneCount8,Pop8,Species8,GeneCount9,Pop9,Species9,GeneCount10,Pop10,Species10
1,5,5,5,0,100,101,100.1,0.35327,99,100,99.7,0.144914,5,101,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,100,5,100,99
2,5,5,5,0,100,102,100.3,0.358887,99,100,99.7,0.144914,5,102,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,99,5,100,100,5,101,99
3,5,5,5,0,100,102,100.4,0.332866,99,100,99.7,0.144914,5,102,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,101,99,5,100,100,5,101,99
4,5,5,5,0,100,103,100.6,0.400999,99,100,99.7,0.144914,5,103,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,102,99,5,100,100,5,101,99
5,5,5,5,0,100,104,101,0.537401,99,100,99.7,0.144914,5,104,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,104,99,5,100,100,5,102,99
6,5,5,5,0,100,104,101,0.537401,99,100,99.7,0.144914,5,104,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,104,99,5,100,100,5,102,99
7,5,5,5,0,100,105,101.4,0.700571,99,100,99.7,0.144914,5,105,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,105,99,5,100,100,5,104,99
8,5,5,5,0,100,106,101.4,0.7502,99,100,99.7,0.144914,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,105,99,5,100,100,5,103,99
9,5,5,5,0,100,106,101.5,0.802994,99,100,99.7,0.144914,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,106,99,5,100,100,5,103,99
10,5,5,5,0,100,108,101.7,0.932094,99,100,99.7,0.144914,5,106,99,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,100,100,5,108,99,5,100,100,5,103,99
